# PhysioNet Challenge 2023 scores for official teams at 72 hours after return of spontaneous circulation (ROSC)
Rank	Team	Challenge Score on the training set	Challenge Score on the validation set	Challenge Score on the test set	Outcome AUROC on the training set	Outcome AUROC on the validation set	Outcome AUROC on the test set	Outcome AUPRC on the training set	Outcome AUPRC on the validation set	Outcome AUPRC on the test set	Outcome Accuracy on the training set	Outcome Accuracy on the validation set	Outcome Accuracy on the test set	Outcome F-measure on the training set	Outcome F-measure on the validation set	Outcome F-measure on the test set	CPC MSE on the training set	CPC MSE on the validation set	CPC MSE on the test set	CPC MAE on the training set	CPC MAE on the validation set	CPC MAE on the test set
1	AIrhythm	0.992	0.657	0.792	0.991	0.878	0.916	0.995	0.935	0.957	0.949	0.794	0.82	0.945	0.776	0.791	0.006	1.634	1.808	0.040	1.035	1.098
2	ComaToss	1.000	0.612	0.787	0.999	0.863	0.908	1.000	0.913	0.957	0.988	0.804	0.807	0.988	0.793	0.788	3.231	3.041	3.171	1.584	1.547	1.569
3	TUD_EEG	0.958	0.687	0.718	0.990	0.874	0.905	0.994	0.929	0.948	0.371	0.374	0.34	0.270	0.272	0.254	5.878	6.729	6.814	1.954	2.093	2.16
4	MIWEAR	0.853	0.597	0.713	0.967	0.871	0.916	0.982	0.924	0.956	0.873	0.776	0.82	0.856	0.737	0.774	1.067	1.841	1.645	0.785	1.062	0.948
5	PKU_NIHDS	0.990	0.821	0.708	0.993	0.936	0.873	0.996	0.961	0.921	0.964	0.860	0.794	0.961	0.846	0.762	0.202	1.422	2.256	0.238	0.674	0.918
5	unimi_bisp_squad	0.887	0.627	0.708	0.973	0.861	0.88	0.983	0.918	0.941	0.689	0.579	0.627	0.688	0.567	0.627	5.570	5.514	5.199	1.491	1.477	1.382
7	Medics	0.961	0.627	0.688	0.992	0.841	0.856	0.995	0.915	0.921	0.959	0.738	0.771	0.955	0.721	0.704	0.926	2.295	2.247	0.796	1.315	1.243
8	BrAInstorm	0.657	0.448	0.683	0.849	0.808	0.842	0.897	0.830	0.902	0.730	0.673	0.68	0.728	0.672	0.678	4.147	4.766	4.912	1.135	1.290	1.31
9	WesternUni	0.908	0.522	0.678	0.963	0.832	0.887	0.979	0.894	0.932	0.913	0.757	0.814	0.908	0.740	0.79	1.180	2.333	1.952	0.739	1.135	1.002
10	UCASFighters	0.995	0.687	0.599	0.997	0.857	0.852	0.998	0.920	0.916	0.975	0.748	0.775	0.974	0.739	0.753	0.860	2.984	2.895	0.522	1.144	1.092
11	EEG pz lmn sqz	0.987	0.582	0.584	0.995	0.868	0.847	0.998	0.925	0.912	0.970	0.757	0.791	0.968	0.731	0.765	1.186	3.238	2.676	0.982	1.478	1.402
12	MetaHeart_YNNU	0.573	0.582	0.564	0.846	0.829	0.815	0.908	0.904	0.895	0.766	0.720	0.735	0.757	0.703	0.711	2.583	2.562	2.707	1.480	1.440	1.52
13	Revenger	0.649	0.701	0.554	0.905	0.850	0.86	0.928	0.919	0.904	0.801	0.729	0.758	0.761	0.674	0.67	2.133	2.965	2.824	0.871	1.104	1.014
14	The BEEGees	0.945	0.627	0.53	0.969	0.828	0.837	0.978	0.896	0.902	0.939	0.776	0.768	0.935	0.763	0.745	0.855	2.715	3.021	0.440	0.963	1.044
14	Univ_Pittsburgh	0.809	0.448	0.53	0.920	0.792	0.803	0.955	0.869	0.891	0.644	0.626	0.657	0.428	0.385	0.405	6.944	7.417	7.596	2.191	2.284	2.365
16	EEGnition	0.843	0.627	0.525	0.953	0.805	0.816	0.972	0.892	0.893	0.855	0.682	0.745	0.830	0.628	0.646	2.275	4.542	3.892	0.667	1.234	1.056
17	SwarthBeat	0.801	0.716	0.52	0.936	0.890	0.868	0.957	0.937	0.914	0.792	0.738	0.735	0.791	0.738	0.731	1.478	2.152	2.157	0.990	1.253	1.249
18	am_vision	0.838	0.522	0.485	0.947	0.803	0.841	0.969	0.880	0.89	0.865	0.748	0.81	0.852	0.707	0.769	0.466	2.579	2.449	0.391	1.311	1.282
19	CQUPT_FP_mana	1.000	0.567	0.48	1.000	0.828	0.8	1.000	0.901	0.872	0.984	0.766	0.761	0.982	0.749	0.725	0.188	2.543	2.445	0.224	1.347	1.296
20	AIMED	0.851	0.552	0.475	0.957	0.783	0.807	0.975	0.881	0.882	0.888	0.701	0.768	0.877	0.660	0.718	0.854	3.185	3.087	0.684	1.401	1.326
20	Aircas	0.455	0.269	0.475	0.832	0.622	0.757	0.883	0.717	0.852	0.733	0.542	0.699	0.727	0.539	0.681	3.941	6.142	4.234	1.462	2.006	1.567
22	FMMGroup_UVa	0.877	0.642	0.45	0.956	0.853	0.797	0.962	0.917	0.869	0.898	0.776	0.758	0.889	0.755	0.714	1.083	2.054	2.456	0.771	1.205	1.273
23	DEIB_POLIMI	0.707	0.373	0.431	0.906	0.707	0.733	0.938	0.825	0.832	0.830	0.664	0.699	0.806	0.599	0.64	1.766	2.770	2.801	1.156	1.502	1.481
24	Blue and Gold	0.982	0.463	0.426	0.992	0.849	0.784	0.995	0.881	0.864	0.960	0.785	0.745	0.957	0.769	0.707	0.328	2.232	2.805	0.212	1.074	1.194
24	RPG@IISC	1.000	0.627	0.426	1.000	0.793	0.78	1.000	0.883	0.855	1.000	0.673	0.722	1.000	0.590	0.596	0.598	2.691	2.759	0.723	1.521	1.532
24	ZIB_Visual	1.000	0.522	0.426	1.000	0.828	0.755	1.000	0.891	0.859	0.995	0.738	0.676	0.995	0.711	0.607	0.245	3.869	4.859	0.160	1.065	1.297
27	USYD_BrainBuzz	0.264	0.507	0.401	0.731	0.732	0.718	0.822	0.827	0.836	0.748	0.720	0.732	0.741	0.714	0.712	4.120	6.486	4.206	1.129	1.720	1.134
28	ComaToast	0.822	0.328	0.381	0.940	0.754	0.74	0.957	0.836	0.841	0.890	0.710	0.716	0.882	0.673	0.671	1.031	2.925	2.704	0.781	1.465	1.379
29	FINDING_MEMO	0.435	0.418	0.371	0.785	0.763	0.765	0.855	0.850	0.855	0.712	0.692	0.735	0.698	0.680	0.707	3.203	3.454	3.435	1.179	1.233	1.163
30	ibmtPeakyFinders	0.597	0.507	0.337	0.874	0.772	0.752	0.917	0.874	0.835	0.796	0.682	0.755	0.766	0.639	0.681	1.619	2.649	2.897	1.072	1.376	1.418
31	Data Doctors	0.359	0.209	0.322	0.791	0.736	0.745	0.853	0.815	0.804	0.638	0.626	0.663	0.410	0.385	0.408	0.569	3.604	3.999	0.394	1.413	1.542
32	UFC_MDCC	0.893	0.373	0.272	0.977	0.694	0.702	0.986	0.810	0.795	0.919	0.645	0.716	0.912	0.597	0.614	0.997	2.959	2.671	0.776	1.513	1.403
33	AHU lab	0.798	0.418	0.238	0.950	0.646	0.616	0.969	0.730	0.756	0.881	0.636	0.67	0.863	0.523	0.515	2.739	4.701	4.383	1.252	1.822	1.734
34	UoM_EEE	0.207	0.388	0.188	0.549	0.629	0.521	0.694	0.742	0.698	0.629	0.626	0.66	0.386	0.385	0.398	5.570	5.514	5.199	1.491	1.477	1.382
35	EEG-Attackers	0.170	0.134	0.119	0.661	0.569	0.578	0.751	0.683	0.701	0.649	0.607	0.657	0.449	0.378	0.422	3.452	3.649	3.516	1.573	1.636	1.579
36	Oldenburg	0.000	0.045	0.025	0.029	0.310	0.232	0.425	0.531	0.509	0.900	0.654	0.745	0.891	0.615	0.673	1.016	3.082	2.689	0.769	1.479	1.362
