Channel,Availability_%,Sampling_Freq_Hz,FS_Occurrence_%_within_Channel,Total_Files_with_this_FS
abdomen,100.0,50.0,94.81,146
abdomen,100.0,100.0,5.19,8
c3,94.81,200.0,100.0,146
c4,94.81,200.0,100.0,146
cflow,94.81,20.0,100.0,146
china,94.81,200.0,100.0,146
chinl,94.81,200.0,100.0,146
chinr,94.81,200.0,100.0,146
cpap press,5.84,20.0,100.0,9
cpap pressure,85.06,20.0,100.0,131
cpap pressure 1,0.65,20.0,100.0,1
cpress,2.6,20.0,100.0,4
e1,94.81,200.0,100.0,146
e2,94.81,200.0,100.0,146
ekg,100.0,200.0,94.81,146
ekg,100.0,250.0,5.19,8
f3,94.81,200.0,100.0,146
f4,94.81,200.0,100.0,146
flow_dr,100.0,200.0,94.81,146
flow_dr,100.0,250.0,5.19,8
left leg,94.81,200.0,100.0,146
m1,94.81,200.0,100.0,146
m2,94.81,200.0,100.0,146
nasal pressure,100.0,200.0,94.81,146
nasal pressure,100.0,250.0,5.19,8
o1,94.81,200.0,100.0,146
o2,94.81,200.0,100.0,146
pressure,0.65,20.0,100.0,1
right leg,94.81,200.0,100.0,146
spo2,100.0,10.0,94.81,146
spo2,100.0,3.0,5.19,8
thermistor,100.0,100.0,86.36,133
thermistor,100.0,50.0,8.44,13
thermistor,100.0,250.0,5.19,8
thermistor 2,1.95,50.0,100.0,3
thorax,100.0,50.0,94.81,146
thorax,100.0,100.0,5.19,8
